unit,year,country,variable,value
g,2014,BO,gdiincj992,0.606959405633148
g,2015,BO,gdiincj992,0.606538205894471
g,2016,BO,gdiincj992,0.61056238628107
g,2017,BO,gdiincj992,0.613273029921102
g,2018,BO,gdiincj992,0.614754448472661
g,2019,BO,gdiincj992,0.609539249406451
g,2020,BO,gdiincj992,0.621978212822613
g,2021,BO,gdiincj992,0.62514270267491
g,2022,BO,gdiincj992,0.6251426494149
g,1981,BR,gdiincj992,0.675599290845941
g,1982,BR,gdiincj992,0.672969411731644
g,1983,BR,gdiincj992,0.670403419717546
g,1984,BR,gdiincj992,0.672425017120877
g,1985,BR,gdiincj992,0.67177982125075
g,1986,BR,gdiincj992,0.670729033873238
g,1987,BR,gdiincj992,0.676710353412453
g,1988,BR,gdiincj992,0.676538704042577
g,1989,BR,gdiincj992,0.67485582603315
g,1990,BR,gdiincj992,0.671586692743848
g,1991,BR,gdiincj992,0.674065070187162
g,1992,BR,gdiincj992,0.671253476017272
g,1993,BR,gdiincj992,0.666538564361757
g,1994,BR,gdiincj992,0.664051405470021
g,1995,BR,gdiincj992,0.667522243656415
g,1996,BR,gdiincj992,0.66666729474868
g,1997,BR,gdiincj992,0.666524201728751
g,1998,BR,gdiincj992,0.66169613018686
g,1999,BR,gdiincj992,0.658450693742263
g,2000,BR,gdiincj992,0.657315722528766
g,2001,BR,gdiincj992,0.664242712581962
g,2002,BR,gdiincj992,0.667502252585201
g,2003,BR,gdiincj992,0.662232902360139
g,2004,BR,gdiincj992,0.651270054510674
g,2005,BR,gdiincj992,0.662891221330211
g,2006,BR,gdiincj992,0.65712320021186
g,2007,BR,gdiincj992,0.641662932267627
g,2008,BR,gdiincj992,0.645241201104647
g,2009,BR,gdiincj992,0.637804641963415
g,2010,BR,gdiincj992,0.644335789636174
g,2011,BR,gdiincj992,0.647487693004698
g,2012,BR,gdiincj992,0.638051755500536
g,2013,BR,gdiincj992,0.6283570261302
g,2014,BR,gdiincj992,0.626421904738928
g,2015,BR,gdiincj992,0.633689891830944
g,2016,BR,gdiincj992,0.632783928175467
g,2017,BR,gdiincj992,0.630168287242354
g,2018,BR,gdiincj992,0.629271619181163
g,2019,BR,gdiincj992,0.617807097607549
g,2020,BR,gdiincj992,0.608014421701011
g,2021,BR,gdiincj992,0.61348616762177
g,2022,BR,gdiincj992,0.653974424658298
g,2000,BS,gdiincj992,0.645620465493277
g,2001,BS,gdiincj992,0.655436305963835
g,2002,BS,gdiincj992,0.653174497112013
g,2003,BS,gdiincj992,0.650339943835712
g,2004,BS,gdiincj992,0.641471455058581
g,2005,BS,gdiincj992,0.637371969098853
g,2006,BS,gdiincj992,0.628846795501018
g,2007,BS,gdiincj992,0.635846988060163
g,2008,BS,gdiincj992,0.628796561235657
g,2009,BS,gdiincj992,0.613896994413554
g,2010,BS,gdiincj992,0.613925391299891
